voterId,project,amount,projectId
6129746919768216236,Data123 (Full Archival History Node Service),4793.0,0x1f675c30198241d438302d1c778e9b082f798ac831a44ce2a8e47830fb3161ab
6129746919768216236,Drand-RS,1598.0,0xf5a96dbacc98504de3f9f606c332c07939e75deeaf57edd5e1fdff464703af2f
6129746919768216236,Ed25519 in Web Browsers (WebTransitions.org),1598.0,0x1d35cbfb5acdc4baac77525c629095c39c285af3ea6ac478a9bb7780fcaa00c0
6129746919768216236,ETHGlobal,4793.0,0x65b56121c37f49ea99a2af793fa9c9e726bf9b71c3012882578c5c5714c99664
6129746919768216236,F3: Fast Finality for Filecoin,12781.0,0x1b9f8e24af98084ebc0b3eb95c88533cc4b8087aa8a9cf6f9566affcc7e09699
6129746919768216236,Farcaster,1598.0,0x6e8ff623770d75c22d97264ea833153d23a359ad84a9dc13fbc7ea1a9de83fbd
6129746919768216236,FEVM application & tool builder DX,7988.0,0x7ef226a753b2e88d4a9b5c7919bab63b3d9b943d735e52b1dde58e64a472f3a8
6129746919768216236,FIL Dev Summit,1598.0,0x11e8e9dea29ee8e8ec1bbf5a5e657e7887fc2cf4bccdc5b2ab7d607f7707b660
6129746919768216236,Filecoin Data Portal,7988.0,0xd2e0841fe3692c12aa092805ac3f8a252d6b33be2bf93dcc8c4bedd4cbda4f43
6129746919768216236,Filecoin On-chain Developer Experience,1598.0,0xd2cbb9bf1a1fbfe94696834e820443b7f4d06a6762aaa82878837f86298d3aaf
6129746919768216236,Filecoin Orbit Ambassadors II,1598.0,0xa9e5889de41378ec39f075e04b1c5098519e960af38f8c5ff5b0ce58ea9024f3
6129746919768216236,Filecoin Proofs,7988.0,0x900efb2143f4450c12bcd77fd1fc7dee22ef6a46520739acfc3509fc875369d1
6129746919768216236,Filecoin Protocol R&D,4793.0,0x6d06621cee64f742e5dbf13550f1eb020fe4a2e59cff88072ea5e73b6b5a952c
6129746919768216236,Filecoin Spark,1598.0,0x99c5e700a9b094b96e05c6bba31e4aac24f46565f5fb8668fa1b319bb89d4491
6129746919768216236,Filecoin Station,4793.0,0xdc1ec81682e525650166f1440d2e48354ce5db3ddc2ad069858df6645d87cb86
6129746919768216236,Filecoin Supply Simulation,1598.0,0x1f3a5d0f826c725e6560d276aa25218fc37bc79fadb7834078884bf7a358587d
