date,pledge
"2022-05-10","0.1680"
"2022-05-11","0.1680"
"2022-05-12","0.1683"
"2022-05-13","0.1682"
"2022-05-14","0.1683"
"2022-05-15","0.1686"
"2022-05-16","0.1687"
"2022-05-17","0.1688"
"2022-05-18","0.1688"
"2022-05-19","0.1685"
"2022-05-20","0.1682"
"2022-05-21","0.1682"
"2022-05-22","0.1683"
"2022-05-23","0.1685"
"2022-05-24","0.1683"
"2022-05-25","0.1684"
"2022-05-26","0.1685"
"2022-05-27","0.1687"
"2022-05-28","0.1687"
"2022-05-29","0.1684"
"2022-05-30","0.1684"
"2022-05-31","0.1689"
"2022-06-01","0.1687"
"2022-06-02","0.1685"
"2022-06-03","0.1686"
"2022-06-04","0.1686"
"2022-06-05","0.1687"
"2022-06-06","0.1688"
"2022-06-07","0.1689"
"2022-06-08","0.1689"
"2022-06-09","0.1688"
"2022-06-10","0.1689"
"2022-06-11","0.1692"
"2022-06-12","0.1687"
"2022-06-13","0.1687"
"2022-06-14","0.1690"
"2022-06-15","0.1702"
"2022-06-16","0.1711"
"2022-06-17","0.1704"
"2022-06-18","0.1686"
"2022-06-19","0.1689"
"2022-06-20","0.1699"
"2022-06-21","0.1697"
"2022-06-22","0.1693"
"2022-06-23","0.1690"
"2022-06-24","0.1691"
"2022-06-25","0.1695"
"2022-06-26","0.1702"
"2022-06-27","0.1694"
"2022-06-28","0.1690"
"2022-06-29","0.1696"
"2022-06-30","0.1696"
"2022-07-01","0.1696"
"2022-07-02","0.1693"
"2022-07-03","0.1692"
"2022-07-04","0.1695"
"2022-07-05","0.1708"
"2022-07-06","0.1783"
"2022-07-07","0.1764"
"2022-07-08","0.1736"
"2022-07-09","0.1719"
"2022-07-10","0.1712"
"2022-07-11","0.1716"
"2022-07-12","0.1712"
"2022-07-13","0.1712"
"2022-07-14","0.1729"
"2022-07-15","0.1735"
"2022-07-16","0.1731"
"2022-07-17","0.1731"
"2022-07-18","0.1729"
"2022-07-19","0.1729"
"2022-07-20","0.1731"
"2022-07-21","0.1737"
"2022-07-22","0.1740"
"2022-07-23","0.1743"
"2022-07-24","0.1740"
"2022-07-25","0.1741"
"2022-07-26","0.1744"
"2022-07-27","0.1742"
"2022-07-28","0.1744"
"2022-07-29","0.1748"
"2022-07-30","0.1750"
"2022-07-31","0.1752"
"2022-08-01","0.1754"
"2022-08-02","0.1758"
"2022-08-03","0.1758"
"2022-08-04","0.1759"
"2022-08-05","0.1758"
"2022-08-06","0.1760"
"2022-08-07","0.1766"
"2022-08-08","0.1769"
"2022-08-09","0.1769"
"2022-08-10","0.1771"
"2022-08-11","0.1777"
"2022-08-12","0.1778"
"2022-08-13","0.1773"
"2022-08-14","0.1775"
"2022-08-15","0.1788"
"2022-08-16","0.1804"
"2022-08-17","0.1789"
"2022-08-18","0.1778"
"2022-08-19","0.1781"
"2022-08-20","0.1783"
"2022-08-21","0.1786"
